Comuna,Poblacion 2021_hombre,Poblacion 2021_mujer,Poblacion 2022_hombre,Poblacion 2022_mujer
San Antonio,0.4859140778844995,0.5140859221155005,0.48609486334148677,0.5139051366585132
San Bernardo,0.4920297175401895,0.5079702824598106,0.49215454234502715,0.5078454576549728
San Carlos,0.4744289744289744,0.5255710255710255,0.47383399209486166,0.5261660079051383
San Clemente,0.49472028757582565,0.5052797124241744,0.4943271658021027,0.5056728341978973
San Esteban,0.488189475017415,0.5118105249825851,0.4881938820011214,0.5118061179988785
San Fabián,0.4868883482022168,0.5131116517977832,0.48505072076882005,0.51494927923118
San Felipe,0.48371656499296106,0.516283435007039,0.48383411049007197,0.516165889509928
San Fernando,0.488336260313463,0.511663739686537,0.48815569607811016,0.5118443039218898
San Gregorio,0.5959780621572212,0.4040219378427788,0.5959409594095941,0.4040590405904059
San Ignacio,0.48579067990832697,0.5142093200916731,0.4856402833853889,0.5143597166146111
San Javier,0.4828382491865225,0.5171617508134775,0.4823657361851986,0.5176342638148014
San Joaquín,0.48879917581101157,0.5112008241889885,0.4889618245630847,0.5110381754369153
