region_id,Región,Comuna,Pacto,Partido,Nro.voto,Nombres,Primer apellido,Segundo apellido,Votos,Cargo,Coalicion1,Coalicion2
7,DEL MAULE,SAN RAFAEL,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,250.0,CLAUDIA,DIAZ,BRAVO,3426,ALCALDE,0,0
7,DEL MAULE,TALCA,CHILE VAMOS,RENOVACION NACIONAL,252.0,JUAN CARLOS,DIAZ,AVENDAÑO,28514,ALCALDE,1,1
7,DEL MAULE,TENO,INDEPENDIENTES,INDEPENDIENTES,251.0,SANDRA CECILIA,AMESTICA,GAETE,4825,ALCALDE,1,0
7,DEL MAULE,VICHUQUEN,INDEPENDIENTES,INDEPENDIENTES,252.0,PATRICIO ANDRES,RIVERA,BRAVO,1456,ALCALDE,1,0
7,DEL MAULE,CAUQUENES,INDEPENDIENTES,INDEPENDIENTES,253.0,NERY CRISTINA,RODRIGUEZ,DOMINGUEZ,6034,ALCALDE,1,0
7,DEL MAULE,CHANCO,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE,250.0,MARCELO OSVALDO,WADDINGTON,GUAJARDO,2445,ALCALDE,0,0
7,DEL MAULE,COLBUN,INDEPENDIENTES,INDEPENDIENTES,251.0,PEDRO PABLO,MUÑOZ,OSES,4061,ALCALDE,1,0
7,DEL MAULE,LINARES,CHILE VAMOS,RENOVACION NACIONAL,251.0,MARIO ALEJANDRO,MEZA,VASQUEZ,12205,ALCALDE,1,1
7,DEL MAULE,LONGAVI,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,251.0,CRISTIAN ENRIQUE,MENCHACA,PINOCHET,3981,ALCALDE,1,1
7,DEL MAULE,PARRAL,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,251.0,PAULA DEL CARMEN,RETAMAL,URRUTIA,5144,ALCALDE,1,1
7,DEL MAULE,PELLUHUE,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU,250.0,MARIA LUZ,REYES,ORELLANA,3547,ALCALDE,0,0
7,DEL MAULE,RETIRO,CHILE VAMOS,RENOVACION NACIONAL,252.0,RODRIGO,RAMIREZ,PARRA,3732,ALCALDE,1,1
7,DEL MAULE,SAN JAVIER,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO,251.0,JORGE EDUARDO IGNACIO,SILVA,SEPULVEDA,5915,ALCALDE,0,0
